,Unnamed: 0.1,Unnamed: 0,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight.1,n_hba.1,n_hbd.1,logp.1,ro5_fulfilled,ROMol
769,1468,1468,CHEMBL2063152,6800.0,nM,CC(C)[C@@H]1C[C@@H](O)[C@H]2[C@@]1(CO)CC[C@@]1(C)[C@H]3C(=CC[C@]21C)C1=C(C[C@@H]3O)[C@](C)(CO)[C@@H](O)CC1,5.167491087293763,474.3345245719999,5,5,3.585300000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87be20>
775,1474,1474,CHEMBL2063149,6800.0,nM,CC(C)[C@@H]1C[C@@H](O)[C@H]2[C@@]1(CO)CC[C@@]1(C)[C@H]3C(=CC[C@]21C)C1=C(C[C@@H]3O)C(C)(C)[C@@H](O)CC1,5.167491087293763,458.33960995199993,4,4,4.612900000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87c0a0>
776,1475,1475,CHEMBL371083,6800.0,nM,O=C(O)COc1ccc(S(=O)(=O)N(CC(=O)N2CCCCC2)Cc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,5.167491087293763,576.1142945139999,6,3,2.580400000000002,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87c100>
777,1476,1476,CHEMBL2063150,6800.0,nM,CC(C)[C@@H]1[C@H](O)[C@@H](O)[C@H]2[C@@]1(CO)CC[C@@]1(C)[C@H]3C(=CC[C@]21C)C1=C(C[C@@H]3O)C(C)(C)[C@@H](O)CC1,5.167491087293763,474.3345245719999,5,5,3.583700000000002,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87c160>
778,1477,1477,CHEMBL2063151,6800.0,nM,CC(C)[C@@H]1CC(=O)[C@H]2[C@@]1(CO)CC[C@@]1(C)[C@H]3C(=CC[C@]21C)C1=C(C[C@@H]3O)C(C)(C)[C@@H](O)CC1,5.167491087293763,456.32395988799993,4,3,4.821100000000006,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87c1c0>
779,1479,1479,CHEMBL2063153,6800.0,nM,CC(C)[C@@H]1C[C@@H](O)[C@H]2[C@@]1(CO)CC[C@@]1(C)[C@H]3C(=CC[C@]21C)C1=CC[C@H](O)C(C)(C)[C@H]1C[C@@H]3O,5.167491087293763,458.33960995199993,4,4,4.468800000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87c220>
784,1487,1487,CHEMBL424840,6900.0,nM,O=C(c1ccc(O)cc1)N(Cc1ccc(-c2csnn2)cc1)Cc1ccc(C(F)(F)P(=O)(O)O)cc1,5.161150909262744,531.08293481,6,3,4.980300000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87c400>
792,1499,1499,CHEMBL2424696,7000.0,nM,CCCCc1ccc(N2N=C3COC(C)(C)C=C3C(C#N)=C2N)cc1,5.154901959985743,336.195011388,5,1,3.634280000000002,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87c700>
796,1507,1507,CHEMBL2373418,7100.0,nM,CC(C)CC(=O)OC[C@H]1C[C@@]23CCC4[C@@](C)(CCC[C@@]4(C)C(=O)O)C2CC[C@@H]1C3,5.1487416512809245,404.29265976,3,1,5.689400000000006,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87c880>
800,1511,1511,CHEMBL4163552,7120.0,nM,COC(=O)c1c(SC)cc(-c2ccc(C)cc2)c2c1-c1cn(-c3ccccc3)nc1CC2,5.147520006363143,440.155849008,5,0,6.121820000000006,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87ca00>
802,1513,1513,CHEMBL3238205,7140.0,nM,O=C(Nc1ccc(-c2ccc(NC(=O)C3CCCCC3)cn2)cc1)C1CCCCC1,5.146301788223825,405.241627232,3,2,5.786200000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87cac0>
809,1523,1523,CHEMBL4062183,7290.0,nM,COC(=O)c1scc(-c2ccc(NC(=O)c3ccc(C(F)(F)F)nc3)cc2)c1OC,5.137272471682025,436.07046262,6,1,4.876400000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87cd60>
816,1532,1532,CHEMBL2316894,7400.0,nM,O=C(O)c1cc2c(CCc3cccc(C(F)(F)F)c3)c(-c3ccccc3)oc2cc1O,5.130768280269024,426.107893684,3,2,6.307600000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87d040>
820,1539,1539,CHEMBL3393517,7450.0,nM,CC[C@]12CCCC(C)(C)[C@@H]1CC[C@]1(C)[C@@H]2C[C@@H](O)[C@]2(C)C3=C(CC[C@H]21)[C@@H](C)OC3=O,5.127843727251707,414.313395204,3,1,6.048200000000008,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87d1c0>
822,1541,1541,CHEMBL3393519,7470.0,nM,CC[C@@]1(C)CCC[C@@]2(C)[C@H]1CC[C@@]1(C)[C@@H]3CCC4=C(C(=O)O[C@@H]4C)[C@@]3(C)[C@H](O)C[C@H]21,5.126679398184601,414.313395204,3,1,6.048200000000007,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87d280>
828,1548,1548,CHEMBL202573,7550.0,nM,O=C(O)COc1ccc(-c2nocc3c(C(=O)c4cccc(C(F)(F)F)c4)ccc2-3)cc1,5.122053048370812,441.082407208,5,1,5.159600000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87d4c0>
830,1551,1551,CHEMBL1098728,7600.0,nM,CC1(C)C=Cc2cc3c(cc2O1)OC[C@H]1c2ccc(O)cc2O[C@@H]31,5.119186407719209,322.12050905599995,4,1,4.186100000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87d580>
832,1555,1555,CHEMBL3220065,7600.0,nM,COc1cc(OC)c(CNC(=O)NCc2ccccc2)c(OC)c1,5.119186407719209,330.157957184,4,2,2.711800000000001,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87d640>
833,1556,1556,CHEMBL465069,7600.0,nM,COc1cc(O)c2c3c1-c1c(O)cccc1[C@@H]1Oc4ccccc4[C@@H](CC2=O)[C@@H]31,5.119186407719209,386.115423676,5,2,4.674300000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87d6a0>
838,1562,1562,CHEMBL1163709,7700.0,nM,CC1(C)CC(=O)C2=C(C1)NC(c1ccccc1)=CC2c1ccco1,5.113509274827518,319.157228912,3,1,4.650700000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87d880>
846,1572,1572,CHEMBL199479,7820.0,nM,COc1ccc(C(=O)c2ccc3c(-c4ccc(O[C@@H](Cc5ccccc5)C(=O)O)cc4)nocc2-3)cc1,5.106793246940152,493.152537456,6,1,5.760700000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87db80>
848,1576,1576,CHEMBL410483,7900.0,nM,O=C(O)COc1ccc(CN(Cc2ccc(-c3csnn3)cc2)S(=O)(=O)c2ccccc2)cc1Br,5.102372908709558,573.00277484,7,1,4.822100000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87dc40>
849,1577,1577,CHEMBL1823755,7910.0,nM,O=C(Cc1ccc(Cl)cc1)NC(Cc1ccc2cc(OCc3ccccc3F)ccc2c1)C(=O)O,5.101823516502323,491.129964116,3,2,5.565900000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87dca0>
850,1579,1579,CHEMBL4635833,7940.0,nM,O=C(Nc1ccccc1)c1ccc(-c2ncc(C(=O)Nc3ccccc3)s2)cc1,5.100179497572904,399.104147784,4,2,5.314700000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87dd00>
852,1583,1583,CHEMBL2311593,8000.0,nM,O=C(O)c1cc2c(/C=C\c3cc(F)cc(F)c3)c(-c3ccccc3)oc2cc1O,5.096910013008056,392.086015368,3,2,5.952200000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87ddc0>
860,1593,1593,CHEMBL2316896,8000.0,nM,O=C(O)c1cc2c(CCc3ccc(Oc4ccccc4)cc3)c(-c3ccccc3)oc2cc1O,5.096910013008056,450.1467238039999,4,2,7.0811000000000055,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87e100>
863,1597,1597,CHEMBL437964,8040.0,nM,C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@@H](O)[C@](C)(C(=O)O)[C@@H]5CC[C@]43C)[C@H]12,5.094743951251549,470.33960995199993,3,2,6.268500000000008,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87e220>
864,1598,1598,CHEMBL9363,8040.0,nM,O=P(O)(O)C(F)(F)c1ccc(CC(c2ccccc2)n2nnc3ccccc32)cc1,5.094743951251549,429.10538450600006,4,2,4.490400000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87e280>
877,1615,1615,CHEMBL2424713,8200.0,nM,CCc1cccc(N2N=C3COC(C)(C)C=C3C(C#N)=C2N)c1,5.086186147616283,308.16371126,5,1,2.8540800000000006,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87e760>
878,1617,1617,CHEMBL2424695,8200.0,nM,CC(C)c1cccc(N2N=C3COC(C)(C)C=C3C(C#N)=C2N)c1,5.086186147616283,322.179361324,5,1,3.415080000000001,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87e7c0>
880,1619,1619,CHEMBL259888,8200.0,nM,COc1ccc2[nH]c(SCC(=O)Nc3cc(C(=O)O)ccc3C)nc2c1,5.086186147616283,371.093977024,5,3,3.3089200000000014,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87e880>
886,1632,1632,CHEMBL3601068,8400.0,nM,C[C@@H]1Cc2c3c(cc(O)c2C(=O)O1)O[C@@]1(C)CC[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@@H]1C3,5.075720713938118,410.20932406,5,1,4.384800000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87eac0>
887,1633,1633,CHEMBL2316895,8400.0,nM,O=C(O)c1cc2c(CCc3ccc(OC(F)(F)F)cc3)c(-c3ccccc3)oc2cc1O,5.075720713938118,442.102808304,4,2,6.187400000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87eb20>
888,1636,1636,CHEMBL3581315,8500.0,nM,C[C@H]1OC(=O)c2c(O)cc3c(c2[C@H]1O)C[C@H]1[C@@]2(C)C=CC(=O)C(C)(C)[C@@H]2C[C@H](O)[C@]1(C)O3,5.070581074285707,442.1991532999999,7,3,2.8465000000000007,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87eb80>
889,1637,1637,CHEMBL406596,8500.0,nM,Cc1ccc(C(=O)O)cc1NC(=O)CSc1nc2ccccc2s1,5.070581074285707,358.044584308,5,2,4.033720000000002,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87ebe0>
891,1640,1640,CHEMBL3608572,8500.0,nM,CO[C@H]1OC[C@]23CCC[C@]1(C)[C@@H]2CC[C@@]1(C)[C@@H]2Cc4ccccc4O[C@@]2(C)CC[C@H]31,5.070581074285707,410.282095076,3,0,6.002000000000007,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87eca0>
904,1659,1659,CHEMBL1783777,8800.0,nM,COc1ccc(-c2cc(-c3ccccc3)no2)c(OCCN2CCCCC2)c1,5.055517327849831,378.194342692,5,0,4.881900000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87f1c0>
905,1660,1660,CHEMBL3760096,8800.0,nM,CCCCc1ccc(-c2cccc(-c3noc(Cc4c[nH]c5ccccc45)n3)c2)cc1,5.055517327849831,407.19976242000007,3,1,6.818300000000006,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87f220>
910,1667,1667,CHEMBL3087456,8900.0,nM,Cc1ccc(-c2nnc(SCC(=O)Nc3cc(C(=O)O)ccc3C)o2)cc1,5.050609993355087,383.093977024,6,2,3.782440000000002,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87f400>
913,1671,1671,CHEMBL3758490,8960.0,nM,CCCCc1ccc(-c2ccc(-c3noc(Cc4c[nH]c5ccccc45)n3)s2)cc1,5.047691990337874,413.156183356,4,1,6.879800000000006,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87f520>
919,1678,1678,CHEMBL466374,9000.0,nM,C[C@]12CC[C@H]3[C@@](C)(CC[C@H]4[C@@](C)(C(=O)O)CCC[C@@]43C)[C@@H]1Cc1cc(O)ccc1O2,5.045757490560675,412.261359632,3,2,5.809400000000007,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87f760>
921,1680,1680,CHEMBL6845,9000.0,nM,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2ccccn2)c1,5.045757490560675,339.12190602400005,6,1,2.2071,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87f820>
922,1681,1681,CHEMBL197590,9000.0,nM,CC(=O)NCCN(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)S(=O)(=O)c1ccc(OCC(=O)O)cc1,5.045757490560675,536.0829943859999,6,4,1.7039999999999995,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87f880>
928,1687,1687,CHEMBL1783786,9100.0,nM,COc1ccc(-c2cc(-c3ccccc3)no2)c(OCC(=O)O)c1,5.040958607678906,325.09502258,5,1,3.480600000000001,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad87fac0>
944,1706,1706,CHEMBL3220069,9390.0,nM,CC(=O)Nc1ccc(CNC(=O)NCc2ccccc2)cc1,5.027334407733889,297.147726848,2,3,2.644400000000001,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad880100>
954,1724,1724,CHEMBL3759405,9660.0,nM,CCCOc1ccc(-c2cccc(-c3noc(Cc4c[nH]c5ccccc45)n3)n2)cc1,5.015022873584506,410.174275944,5,1,5.659500000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8804c0>
955,1725,1725,CHEMBL3758715,9660.0,nM,CCCCc1ccc(-c2cccc(-c3noc(Cc4c[nH]c5ccccc45)n3)n2)cc1,5.015022873584506,408.19501138800007,4,1,6.213300000000006,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad880520>
957,1727,1727,CHEMBL3087457,9700.0,nM,COc1cc(-c2nnc(SCC(=O)Nc3cc(C(=O)O)ccc3C)o2)cc(OC)c1OC,5.013228265733755,459.1100210119999,9,2,3.4998200000000024,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8805e0>
