,molecule_chembl_id,IC50,units,smiles,pIC50
61,CHEMBL1938819,31.0,nM,NS(=O)(=O)C(F)(F)c1ccc(CN(Cc2ccc(-c3csnn3)cc2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1F,7.508638306165727
62,CHEMBL402032,32.0,nM,Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)c2ncc(CCCCOc3cccc(O)c3C(=O)O)[nH]2)ccc1C1CC(=O)NS1(=O)=O,7.494850021680094
63,CHEMBL418703,32.0,nM,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nnn[nH]2)n2nnc3ccccc32)cc1,7.494850021680094
64,CHEMBL210836,32.0,nM,O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3ccccc3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)[N-]1.[Na+],7.494850021680094
65,CHEMBL24566,32.0,nM,Cc1sc(Cc2ccccc2)c(-c2ccc(-c3ccc(OS(=O)(=O)c4ccc(C(=O)O)c(O)c4)cc3)cc2)c1C,7.494850021680094
66,CHEMBL24524,34.0,nM,Cc1cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc(C)c1OS(=O)(=O)c1ccc(C(=O)O)c(O)c1,7.468521082957745
67,CHEMBL1938816,35.0,nM,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc(C(F)(F)P(=O)(O)O)c(F)c2)cc1,7.455931955649724
68,CHEMBL371929,35.0,nM,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc(C(F)(F)P(=O)(O)O)c(Br)c2)cc1,7.455931955649724
69,CHEMBL211655,35.0,nM,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc([C@@H]2CC(=O)NS2(=O)=O)cc1)c1nc2ccccc2[nH]1,7.455931955649724
70,CHEMBL1938830,35.0,nM,NS(=O)(=O)C(F)(F)c1cc2cc(CN(Cc3ccc(-c4csnn4)cc3)S(=O)(=O)c3ccc(OCC(=O)O)cc3)ccc2cc1F,7.455931955649724
71,CHEMBL248291,35.0,nM,Cc1cc(C[C@H](NS(=O)(=O)c2ccccc2)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)NS1(=O)=O,7.455931955649724
